index,symbol,interval,month,unit_id,url,checksum_url,status,checksum_http_status,archive_http_status,published_sha256,attempt,error,checked_at_utc
25,ETHUSDT,1d,2026-04,kline:ETHUSDT:1d:2026-04,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-04.zip.CHECKSUM,AVAILABLE,200,,b01214ecc10d42fef261ae34096918c95910fe67e01e3345a67379f891d07e00,1,,2026-08-23T12:39:33.579263+00:00
26,ETHUSDT,1d,2026-05,kline:ETHUSDT:1d:2026-05,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-05.zip.CHECKSUM,AVAILABLE,200,,59386141efa6f41ec83fea5293513c80e82eb9fdc539d96eeac6fe25e6be27d3,1,,2026-08-23T12:39:33.927383+00:00
27,ETHUSDT,1d,2026-06,kline:ETHUSDT:1d:2026-06,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-06.zip.CHECKSUM,AVAILABLE,200,,34adb4f2892b81194ad60e414d01176e598fb98757920ea073d27320c36dd098,1,,2026-08-23T12:39:33.934629+00:00
28,ETHUSDT,1d,2026-07,kline:ETHUSDT:1d:2026-07,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-07.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1d/ETHUSDT-1d-2026-07.zip.CHECKSUM,AVAILABLE,200,,f3c34fd95aefc44250c04af7808a2949f7a7520a20cc4a79a8b07491176b2bda,1,,2026-08-23T12:39:33.926806+00:00
29,ETHUSDT,4h,2026-04,kline:ETHUSDT:4h:2026-04,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-04.zip.CHECKSUM,AVAILABLE,200,,c3e738853a03fe67caadf689c05045fe601f426a60c5f607d4e6b8dc237009f2,1,,2026-08-23T12:39:33.682726+00:00
30,ETHUSDT,4h,2026-05,kline:ETHUSDT:4h:2026-05,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-05.zip.CHECKSUM,AVAILABLE,200,,471b54155e392dd0483bd233caab94287a5729992981f833cf94386bc3239c38,1,,2026-08-23T12:39:33.905487+00:00
31,ETHUSDT,4h,2026-06,kline:ETHUSDT:4h:2026-06,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-06.zip.CHECKSUM,AVAILABLE,200,,fa01174aa882cec9e1d67d995ce2f0a3246340f5083c5a3b4cbac9ebc4b29dea,1,,2026-08-23T12:39:33.815761+00:00
32,ETHUSDT,4h,2026-07,kline:ETHUSDT:4h:2026-07,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-07.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2026-07.zip.CHECKSUM,AVAILABLE,200,,4016f7b59a8067b5ca373c1ecaa25fbe7c6abb96e49616944cf16d4a2da3e9e0,1,,2026-08-23T12:39:33.913235+00:00
33,ETHUSDT,1h,2026-04,kline:ETHUSDT:1h:2026-04,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2026-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2026-04.zip.CHECKSUM,AVAILABLE,200,,b72f5a102bd468d1e3d0c3b88619f1354a29e81616f9a55935d2e00837958e4b,1,,2026-08-23T12:39:33.740132+00:00
34,ETHUSDT,1h,2026-05,kline:ETHUSDT:1h:2026-05,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2026-05.zip.CHECKSUM,AVAILABLE,200,,5353c7cd71f610eca5a58824606ba1016efe34ea62fd6e6cd4b7be4b99277915,1,,2026-08-23T12:39:34.092897+00:00
