config_id,sl_atr,target_r,fill_buffer_bps,threshold,validation_auc,trades,wins,losses,accuracy_pct,target_hit_rate_pct,profit_factor,expectancy_r,net_r,max_drawdown_r,trades_per_30d,fill_rate_pct,symbols,wilson95_low_pct,wilson95_high_pct,validation_hard_pass,quality_score
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.5,0.5150927397712785,2748,1097,1651,39.91994177583697,39.91994177583697,0.5812750999154055,-0.30228639474820157,-830.6830127680579,835.1857027769664,1129.3150684931509,100.0,46,38.10418899896685,41.7638372558081,False,-87.4508492438351
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.55,0.5150927397712785,673,278,395,41.3075780089153,41.3075780089153,0.6277570005623252,-0.2609019961211031,-175.58704338950238,179.65370145609137,276.57534246575347,100.0,44,37.647126054924996,45.066698803874736,False,-29.386758205602383
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.6,0.5150927397712785,108,35,73,32.407407407407405,32.407407407407405,0.4276600714126435,-0.46148934671028674,-49.84084944471097,50.86769315690693,44.38356164383561,100.0,37,24.31666541281401,41.706667615305584,False,-52.77038303382347
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.65,0.5150927397712785,21,7,14,33.33333333333333,33.33333333333333,0.4399931535662329,-0.44466081586188544,-9.337877133099594,13.590850657488982,8.63013698630137,100.0,17,17.194752605083476,54.62654802574476,False,-56.03210036072377
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.7,0.5150927397712785,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.75,0.5150927397712785,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.8,0.5150927397712785,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.85,0.5150927397712785,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.25_fb0.5,0.8,1.25,0.5,0.9,0.5150927397712785,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.5,0.5098699600050975,6040,2333,3707,38.62582781456953,38.62582781456953,0.6731028976168214,-0.24246069228566258,-1464.462581405402,1487.1414096388564,2482.1917808219177,100.0,47,37.405530899415545,39.86058355177157,False,-135.32434229961473
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.55,0.5098699600050975,1022,411,611,40.21526418786693,40.21526418786693,0.7291236467622145,-0.19396708742151023,-198.23436334478345,205.9413678953723,420.0,100.0,46,37.25114703976745,43.25266295150355,False,-26.293112533338732
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.6,0.5098699600050975,161,72,89,44.72049689440994,44.72049689440994,0.8816241305584765,-0.07855114700686157,-12.646734668104713,30.223898639849246,66.16438356164383,100.0,44,37.25238517173205,52.434675279187815,False,4.234163576517842
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.65,0.5098699600050975,51,27,24,52.94117647058824,52.94117647058824,1.2149329476048067,0.12144412009999651,6.193650125099822,15.162639923012263,20.958904109589042,100.0,31,39.52330421009647,65.94700979050042,False,24.847874455879303
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.7,0.5098699600050975,16,8,8,50.0,50.0,1.0722680246704597,0.04305721501312729,0.6889154402100366,6.8413123036836545,6.575342465753424,100.0,14,27.999563610326017,72.00043638967398,False,10.800829355864854
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.75,0.5098699600050975,7,4,3,57.14285714285714,57.14285714285714,1.4511983370544626,0.2281962158314112,1.5973735108198783,2.3599797052821456,2.8767123287671232,100.0,5,25.04583645276572,84.17801447485303,False,36.81208387916808
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.8,0.5098699600050975,1,0,1,0.0,0.0,0.0,-1.0960502920324744,-1.0960502920324744,1.0960502920324744,0.410958904109589,100.0,1,0.0,79.34506856227625,False,-158.62947058025787
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.85,0.5098699600050975,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.50_fb0.0,0.8,1.5,0.0,0.9,0.5098699600050975,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.5,0.5065166524942515,2481,897,1584,36.15477629987908,36.15477629987908,0.6112171317770627,-0.29857839772134215,-740.7730047466498,752.123197976284,1019.5890410958905,100.0,46,34.28699898321997,38.06536186614986,False,-84.84026106632234
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.55,0.5065166524942515,589,219,370,37.18166383701188,37.18166383701188,0.6413246923894056,-0.27043699869818827,-159.28739223323288,163.35937301467402,242.05479452054794,100.0,45,33.37350685122081,41.1559398071867,False,-33.826053879179454
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.6,0.5065166524942515,111,42,69,37.83783783783784,37.83783783783784,0.647220754972708,-0.26415279633741684,-29.32096039345327,36.023418430606064,45.61643835616439,100.0,36,29.36531154974464,47.12401532117573,False,-25.853394335925675
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.65,0.5065166524942515,20,6,14,30.0,30.0,0.4596804269392779,-0.4523311288718686,-9.046622577437372,12.955077479179787,8.21917808219178,100.0,13,14.54772448676043,51.89728183535235,False,-60.66567306742858
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.7,0.5065166524942515,5,3,2,60.0,60.0,1.674521918846534,0.318304082805874,1.5915204140293702,2.3594791652596694,2.054794520547945,100.0,4,23.07242812760128,88.2379225767352,False,48.842472889035065
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.75,0.5065166524942515,2,2,0,100.0,100.0,inf,1.2649984152701168,2.5299968305402336,0.0,0.821917808219178,100.0,2,34.2380227506653,100.0,False,inf
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.8,0.5065166524942515,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.85,0.5065166524942515,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl0.80_r1.50_fb0.5,0.8,1.5,0.5,0.9,0.5065166524942515,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.5,0.5070705279692497,9480,5233,4247,55.200421940928265,55.200421940928265,0.5868351773174577,-0.21953595848973187,-2081.200886482658,2081.2008864826603,3895.8904109589043,100.0,48,54.19747453421449,56.199156454201535,False,-161.31986822855373
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.55,0.5070705279692497,1328,750,578,56.475903614457835,56.475903614457835,0.630296430956904,-0.18925139903766994,-251.32585792202568,254.62597946928784,545.7534246575343,100.0,48,53.794483646963975,59.11996640719646,False,-10.7215250714479
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.6,0.5070705279692497,215,140,75,65.11627906976744,65.11627906976744,0.9207845486620104,-0.03228844165255901,-6.942014955300186,20.47219996917163,88.35616438356163,100.0,47,58.530853616604794,71.17101382216842,False,33.81766891083641
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.65,0.5070705279692497,68,43,25,63.23529411764706,63.23529411764706,0.8334789646460119,-0.0715070578156636,-4.862479931465125,19.524678265319235,27.945205479452053,100.0,30,51.35563563911616,73.69953486476433,False,19.720766731819925
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.7,0.5070705279692497,29,14,15,48.275862068965516,48.275862068965516,0.43753638513138116,-0.34275882288491333,-9.940005863662487,12.760888193723734,11.917808219178081,100.0,20,31.386090152683487,65.56897811800528,False,-28.055232139468686
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.75,0.5070705279692497,8,5,3,62.5,62.5,0.7506465140754952,-0.11057663435744639,-0.8846130748595711,2.333614234709518,3.287671232876712,100.0,6,30.574239460262735,86.31557141764026,False,10.163212827872945
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.8,0.5070705279692497,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.85,0.5070705279692497,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r0.75_fb0.0,1.1,0.75,0.0,0.9,0.5070705279692497,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.5,0.4993443210132399,3814,1998,1816,52.385946512847404,52.385946512847404,0.5407526521783966,-0.2565843912773332,-978.6128683317487,978.6128683317479,1567.3972602739725,100.0,47,50.79932898620931,53.967762627286305,False,-80.06032060836952
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.55,0.4993443210132399,855,441,414,51.578947368421055,51.578947368421055,0.5314388783109476,-0.2651372910129302,-226.69238381605533,228.59744173516538,351.3698630136986,100.0,46,48.2295812853037,54.91418869956344,False,-21.845752793431263
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.6,0.4993443210132399,179,85,94,47.486033519553075,47.486033519553075,0.44956881997414544,-0.33872637690448676,-60.63202146590313,69.38331513117933,73.56164383561644,100.0,42,40.30044983225842,54.777252972100634,False,-21.082669735030358
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.65,0.4993443210132399,49,21,28,42.857142857142854,42.857142857142854,0.36633203533506636,-0.41856162788338364,-20.5095197662858,25.549171025480582,20.136986301369863,100.0,29,30.023319078881595,56.72950690998263,False,-40.75462376469224
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.7,0.4993443210132399,13,3,10,23.076923076923077,23.076923076923077,0.15106485101036937,-0.757395595364839,-9.846142739742907,10.905679750717393,5.342465753424658,100.0,11,8.179528718498569,50.256375946727495,False,-98.884634061498
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.75,0.4993443210132399,1,0,1,0.0,0.0,0.0,-1.127769808678172,-1.127769808678172,1.127769808678172,0.410958904109589,100.0,1,0.0,79.34506856227625,False,-161.48676463970233
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.8,0.4993443210132399,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.85,0.4993443210132399,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r0.75_fb0.5,1.1,0.75,0.5,0.9,0.4993443210132399,0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,False,-1000000000.0
sl1.10_r1.00_fb0.0,1.1,1.0,0.0,0.5,0.5091974065937668,8412,4069,4343,48.37137422729434,48.37137422729434,0.6462492729579619,-0.21617735909057614,-1818.4839446699266,1818.483944669926,3456.9863013698628,100.0,49,47.30444300269843,49.43979224293089,False,-147.90103255947272
sl1.10_r1.00_fb0.0,1.1,1.0,0.0,0.55,0.5091974065937668,1388,698,690,50.28818443804035,50.28818443804035,0.693316775472835,-0.18002725679362377,-249.8778324295498,253.55098908478507,570.4109589041095,100.0,48,47.660655528135884,52.91412257962207,False,-16.92719735567733
